timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1597301843922,6060,MyHomePage,200,OK,Users 1-2,text,false,"The operation lasted too long: It took 6,060 milliseconds, but should not have lasted longer than 4,000 milliseconds.",38205,267,5,5,http://lifecharger.org/2-minute-rule/,2739,0,267
1597301843922,2739,MyHomePage-0,301,Moved Permanently,Users 1-2,text,true,,956,133,5,5,http://lifecharger.org/2-minute-rule,2739,0,267
1597301846661,3321,MyHomePage-1,200,OK,Users 1-2,text,true,,37249,134,5,5,http://lifecharger.org/2-minute-rule/,3049,0,0
1597301844121,5947,MyHomePage,200,OK,Users 1-3,text,false,"The operation lasted too long: It took 5,947 milliseconds, but should not have lasted longer than 4,000 milliseconds.",38212,267,4,4,http://lifecharger.org/2-minute-rule/,2822,0,259
1597301844121,2822,MyHomePage-0,301,Moved Permanently,Users 1-3,text,true,,956,133,4,4,http://lifecharger.org/2-minute-rule,2822,0,259
1597301846943,3125,MyHomePage-1,200,OK,Users 1-3,text,true,,37256,134,4,4,http://lifecharger.org/2-minute-rule/,2844,0,0
1597301843722,6369,MyHomePage,200,OK,Users 1-1,text,false,"The operation lasted too long: It took 6,369 milliseconds, but should not have lasted longer than 4,000 milliseconds.",38177,267,3,3,http://lifecharger.org/2-minute-rule/,3221,0,261
1597301843722,3221,MyHomePage-0,301,Moved Permanently,Users 1-1,text,true,,956,133,3,3,http://lifecharger.org/2-minute-rule,3221,0,261
1597301846943,3148,MyHomePage-1,200,OK,Users 1-1,text,true,,37221,134,3,3,http://lifecharger.org/2-minute-rule/,2876,0,0
1597301844321,5863,MyHomePage,200,OK,Users 1-4,text,false,"The operation lasted too long: It took 5,863 milliseconds, but should not have lasted longer than 4,000 milliseconds.",38212,267,2,2,http://lifecharger.org/2-minute-rule/,2827,0,265
1597301844321,2827,MyHomePage-0,301,Moved Permanently,Users 1-4,text,true,,956,133,2,2,http://lifecharger.org/2-minute-rule,2827,0,265
1597301847148,3036,MyHomePage-1,200,OK,Users 1-4,text,true,,37256,134,2,2,http://lifecharger.org/2-minute-rule/,2762,0,0
1597301844522,5705,MyHomePage,200,OK,Users 1-5,text,false,"The operation lasted too long: It took 5,705 milliseconds, but should not have lasted longer than 4,000 milliseconds.",38218,267,1,1,http://lifecharger.org/2-minute-rule/,2761,0,367
1597301844522,2761,MyHomePage-0,301,Moved Permanently,Users 1-5,text,true,,956,133,1,1,http://lifecharger.org/2-minute-rule,2761,0,367
1597301847283,2944,MyHomePage-1,200,OK,Users 1-5,text,true,,37262,134,1,1,http://lifecharger.org/2-minute-rule/,2674,0,0
